mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR162643	movable	unbalanced	{"C": 28.0, "P": 3.0, "O": 20.0, "N": 11.0, "*": 1.0}	3048	270
MNXR135558	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2673	51
MNXR131450	movable	balanced	{}	2794	250
MNXR110056	movable	unbalanced	{"C": 52.0, "O": 26.0, "N": 2.0}	2910	603
MNXR191508	movable	unbalanced	{"S": -1.0}	2981	487
MNXR129901	movable	unusable	["harness: BadJSON: Expecting property name enclosed in double quotes: line 11 column 421 (char 1529); usage=Usage(prompt_tokens=2778, completion_tokens=1024, seconds=96.52801677098614)"]	0	0
MNXR157756	movable	balanced	{}	2890	349
MNXR104139	movable	unbalanced	{"C": 22.0, "O": 16.0, "N": 2.0}	2856	208
MNXR194194	movable	unbalanced	{"O": -1.0}	3146	594
MNXR179735	movable	unbalanced	{"C": 6.0, "O": 4.0}	2859	547
MNXR147474	movable	unbalanced	{"C": 2.0, "O": 2.0}	3394	362
MNXR194276	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 29 column 17 (char 1334); usage=Usage(prompt_tokens=2904, completion_tokens=1024, seconds=95.40067967301002)"]	0	0
MNXR133150	movable	unusable	["smiles 'CC(=O)NCC(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](C(=O)O)C(=O)N[C@H](' unparseable"]	2936	934
MNXR134839	movable	unbalanced	{"C": -6.0}	3336	293
MNXR155411	movable	unbalanced	{"O": -4.0}	2697	402
MNXR156155	movable	balanced	{}	2826	389
MNXR145170	movable	unusable	["smiles 'CC(C)=CCC/C(C)=C/CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\CC/C(C)=C\\\\COP(=O)([O-])[O-]OC1OC[C@H](O)[C@H](O)O' unparseable"]	2824	655
MNXR172410	movable	refused	["All participants are structureless and represent proteins or complexes with no chemical structure; no concrete chemistry"]	2659	59
MNXR154663	movable	unbalanced	{"C": -5.0, "O": -3.0}	2742	324
MNXR195187	movable	unusable	["smiles 'NC1=C2C(=O)/C(=N\\nc3=cc=cc3)C(S(=O)(=O)[O-])=CC2=CC(S(=O)(=O)[O-])=C1/N=N/C1=CC=C(S(=O)(=O)CCOS(=O)(=O)[O-])C=C1.[Na+].[Na+].[Na+].[Na+]' unparseable"]	2847	444
MNXR133485	movable	unbalanced	{"C": -1.0}	2821	269
MNXR130394	movable	unbalanced	{"C": -3.0, "P": -1.0, "O": -6.0, "N": -3.0}	2797	287
MNXR183037	movable	unbalanced	{"C": 9.0, "O": 5.0, "N": 1.0}	3063	623
MNXR133575	movable	balanced	{}	2790	423
MNXR130763	movable	unusable	["smiles 'O=C(O)CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC( =O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](C)N)C)C)C)C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O' unparseable"]	2754	891
MNXR144457	movable	unbalanced	{"C": -1.0, "P": 1.0, "*": 2.0}	2881	342
MNXR102670	movable	unbalanced	{"N": -1.0, "C": -7.0, "P": 4.0, "O": 12.0}	2770	360
MNXR178530	movable	refused	["The reaction involves two structureless monomers with no chemical identity, making it impossible to balance or map witho"]	2674	61
MNXR97130	movable	balanced	{}	2825	370
MNXR157571	movable	unbalanced	{"C": -15.0, "O": 4.0}	3133	797
MNXR133332	movable	refused	["No structure is available for either participant, and no concrete chemistry can be inferred without inventing it."]	2677	56
MNXR194649	movable	balanced	{}	2769	501
MNXR163206	movable	unbalanced	{"C": -13.0, "P": 2.0, "O": 5.0}	2898	475
MNXR171410	movable	unbalanced	{"C": 16.0, "P": 3.0, "O": 16.0, "N": 7.0}	2916	523
MNXR101521	movable	balanced	{}	2960	422
MNXR194625	movable	unbalanced	{"N": -2.0, "C": -5.0}	2736	316
MNXR142667	movable	balanced	{}	2856	661
MNXR102685	movable	unbalanced	{"C": 1.0, "P": 1.0, "O": 5.0}	2844	356
MNXR176644	movable	balanced	{}	3023	370
MNXR193814	no_lever	balanced	{}	2666	106
MNXR133545	movable	unbalanced	{"O": -1.0}	2696	296
MNXR123966	one_sided	refused	["No reaction equation was provided and no structured participants are available to infer one."]	2559	51
MNXR178634	movable	refused	["No structure is available for any participant, and the reaction cannot be made concrete without inventing chemistry."]	2635	56
MNXR178041	movable	unusable	["smiles 'CC(=O)N[C@H]1CC(=O)N[C@H]2C(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H' unparseable", "term carries neither id nor smiles"]	2933	773
MNXR166219	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1201); usage=Usage(prompt_tokens=2928, completion_tokens=1024, seconds=96.77170615500654)"]	0	0
MNXR178167	movable	refused	["Both reactants and products are structureless and their chemistry is unclear."]	2689	50
MNXR183992	no_lever	unbalanced	{"O": 1.0, "*": 2.0}	2971	146
MNXR172435	movable	unbalanced	{"N": 5.0, "C": 7.0, "P": -1.0}	2772	259
MNXR167225	movable	unbalanced	{"O": -1.0}	2881	458
MNXR203847	movable	unbalanced	{"C": 3.0, "O": 1.0, "*": 1.0}	2834	287
MNXR191255	movable	unbalanced	{"C": -5.0, "P": -1.0, "*": -2.0, "O": -7.0}	2744	349
MNXR147911	movable	unbalanced	{"C": -11.0, "P": -3.0, "O": -16.0, "N": 1.0, "*": -2.0}	2969	264
MNXR96442	movable	unbalanced	{"S": -2.0, "C": 6.0, "P": 3.0, "O": 12.0, "N": 3.0}	3005	419
MNXR132163	movable	refused	["The reaction involves only structureless participants and no concrete chemistry is preserved."]	2713	50
MNXR201259	no_lever	balanced	{}	2694	128
MNXR136651	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 25 column 17 (char 1608); usage=Usage(prompt_tokens=2844, completion_tokens=1024, seconds=95.25226113098324)"]	0	0
MNXR155725	movable	unbalanced	{"C": -1.0}	3002	410
MNXR157653	movable	unbalanced	{"C": -6.0, "O": -5.0}	2809	511
MNXR169901	movable	unbalanced	{"C": 1.0, "O": -1.0}	2837	567
MNXR165614	movable	unbalanced	{"S": -1.0, "C": -3.0}	2706	242
MNXR178123	movable	unbalanced	{"N": 1.0, "C": -1.0, "O": -2.0}	2697	288
MNXR160590	movable	unbalanced	{"C": 3.0, "O": 2.0}	2744	376
MNXR195073	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1297); usage=Usage(prompt_tokens=2714, completion_tokens=1024, seconds=94.39367387801758)"]	0	0
MNXR130357	movable	balanced	{}	2947	686
MNXR158169	movable	unbalanced	{"O": -1.0}	2712	313
MNXR200923	movable	unbalanced	{"C": -11.0, "P": -1.0, "O": -7.0, "N": -5.0}	2830	546
MNXR124032	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR179617	movable	unbalanced	{"O": -2.0}	2740	369
MNXR194045	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 16 column 17 (char 1216); usage=Usage(prompt_tokens=2905, completion_tokens=1024, seconds=94.91459333300008)"]	0	0
MNXR144738	movable	unbalanced	{"C": -82.0, "P": -23.0, "O": -123.0, "N": -2.0}	3104	299
MNXR203923	one_sided	refused	["No reaction equation provided and no structured participants available to infer chemistry."]	2559	49
MNXR101839	movable	unbalanced	{"N": -1.0, "S": -1.0, "C": -7.0, "O": -7.0}	2777	416
MNXR130639	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 35 column 17 (char 1467); usage=Usage(prompt_tokens=2778, completion_tokens=1024, seconds=94.66314272998716)"]	0	0
MNXR130755	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 11 column 24 (char 1133); usage=Usage(prompt_tokens=2712, completion_tokens=1024, seconds=94.98527071598801)"]	0	0
MNXR153658	movable	unbalanced	{"C": -56.0, "P": -1.0, "O": -9.0}	2861	860
MNXR143170	movable	unbalanced	{"N": 1.0, "C": 1.0, "O": 1.0}	2802	456
MNXR168828	movable	unusable	["id MNXM1090316 has no structure in MetaNetX", "id MNXM1090317 has no structure in MetaNetX"]	2885	877
MNXR203592	movable	unbalanced	{"S": -1.0, "O": 1.0, "N": -1.0}	2748	295
MNXR172889	movable	balanced	{}	2894	184
MNXR178556	movable	refused	["No structure is available for any participant, making it impossible to balance or map atom transformations."]	2655	50
MNXR170900	movable	unbalanced	{"C": 1.0}	2741	459
MNXR194759	movable	unbalanced	{"N": -1.0}	2825	368
MNXR183125	movable	unbalanced	{"C": 5.0, "O": 4.0}	3062	652
MNXR160721	movable	unusable	["smiles 'H2O' unparseable"]	2758	472
MNXR116115	movable	unbalanced	{"C": 1.0, "O": -1.0, "N": 1.0, "*": 1.0}	2999	317
MNXR161501	movable	unbalanced	{"C": 1.0, "O": 3.0}	2845	726
MNXR136497	movable	unbalanced	{"O": 2.0}	2732	185
MNXR130889	movable	unbalanced	{"C": -3.0, "N": -1.0}	2794	464
MNXR133305	movable	unbalanced	{"C": -1.0, "O": -2.0}	2905	253
MNXR144758	movable	refused	["All participants are structureless polymers or complexes; no concrete chemistry can be extracted."]	2762	49
MNXR136848	movable	unbalanced	{"C": 1.0}	2935	397
MNXR172084	movable	unbalanced	{"S": -1.0, "C": -1.0, "P": -1.0, "N": -1.0}	2692	410
MNXR192988	movable	unbalanced	{"C": -15.0, "P": -4.0, "*": -4.0, "O": -17.0}	2896	358
MNXR132814	movable	unbalanced	{"C": -6.0, "O": -3.0}	2674	318
MNXR137141	movable	unbalanced	{"C": 1.0}	2717	249
MNXR179930	movable	unusable	["smiles 'CC(C)C(C)(N)C(=O)O[tRNA]' unparseable"]	2820	322
MNXR165805	movable	unusable	["smiles 'CC(=O)NCC(=O)[C@H](N)C( =O)O' unparseable"]	2713	347
MNXR136212	movable	unbalanced	{"C": 22.0, "P": 1.0, "O": 7.0, "N": 2.0}	2830	808
MNXR136600	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 18 column 17 (char 1287); usage=Usage(prompt_tokens=3075, completion_tokens=1021, seconds=97.39120076500694)"]	0	0
MNXR132439	movable	balanced	{}	2694	97
MNXR172365	movable	unbalanced	{"C": -1.0, "O": -1.0}	2928	251
MNXR144850	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[P]([O-])([O-])=O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]3NCCCCCCCCCCCCCCCCCCCCCCCCC(=O)' unparseable", "smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[P]([O-])([O-])=O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O' unparseable"]	2792	699
MNXR102126	movable	unbalanced	{"C": -5.0}	2840	568
MNXR132249	movable	unbalanced	{"N": -1.0, "O": 1.0}	2772	278
MNXR154239	movable	unbalanced	{"C": 1.0}	2937	603
MNXR165798	no_lever	balanced	{}	2748	146
MNXR129465	movable	unusable	["smiles 'COC1=C([N+]2=NC(C3=CC=CC=C3)=NN2C2=CC=C(NC2)C=C2)C=CC(C2=CC(OC)=C([N+]3=NC(C4=CC=CC=C4)=NN3C3=CC=C(NC3)C=C3)C=C2)=C1.[Cl-].[Cl-]' unparseable"]	2847	382
MNXR203364	movable	unbalanced	{"C": -1.0, "O": -1.0}	2746	420
MNXR194892	movable	refused	["All participants are structureless and cannot be replaced with concrete chemical structures without inventing chemistry."]	2681	54
MNXR117589	movable	unbalanced	{"C": 1.0, "O": 1.0, "N": 1.0, "*": 1.0}	2717	317
MNXR154839	movable	unusable	["smiles 'CC=C(=O)SC' unparseable"]	2924	282
MNXR136545	movable	refused	["All participants are structureless and cannot be replaced with concrete chemistry without inventing unknown structures o"]	2697	52
MNXR158027	movable	balanced	{}	2904	351
MNXR142723	movable	unbalanced	{"C": -5.0, "P": -1.0, "O": -5.0}	2801	420
MNXR143269	movable	unbalanced	{"C": -50.0, "O": -5.0}	2803	371
MNXR201449	movable	balanced	{}	2882	542
MNXR160537	movable	unbalanced	{"C": 3.0, "P": 1.0, "O": 5.0}	2893	314
MNXR99570	movable	unbalanced	{"Fe": -2.0}	2921	278
MNXR169632	movable	unbalanced	{"C": 1.0}	2893	290
MNXR160569	movable	unbalanced	{"P": -1.0, "O": -3.0}	2818	401
MNXR166416	movable	unbalanced	{"C": 1.0, "P": -1.0, "O": -2.0}	2930	445
MNXR169498	movable	unbalanced	{"C": -6.0, "O": -1.0, "N": -1.0}	2788	455
MNXR158357	movable	unbalanced	{"S": 1.0, "C": -12.0, "P": -3.0, "O": -14.0, "N": -5.0, "*": -1.0}	2886	252
MNXR142725	movable	unbalanced	{"C": -1.0, "P": 2.0, "O": 5.0}	2801	573
MNXR135974	movable	unbalanced	{"C": 1.0, "*": 1.0, "O": 1.0}	2760	455
MNXR131323	movable	unbalanced	{"S": -1.0, "N": 1.0}	2744	303
MNXR186762	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 14 column 17 (char 1224); usage=Usage(prompt_tokens=3004, completion_tokens=1024, seconds=98.31586228701053)"]	0	0
MNXR159962	movable	unbalanced	{"N": 2.0, "C": 170.0, "P": 4.0, "O": 94.0}	3174	402
MNXR101315	movable	unusable	["smiles 'CC(C)=OCC(COP(=O)(O)OCCN)OC(C)=O' unparseable"]	2890	581
MNXR116733	no_lever	unbalanced	{"C": -15.0, "O": -9.0, "*": 1.0}	3061	122
MNXR131667	movable	unbalanced	{"O": -1.0}	2759	247
MNXR173291	movable	unbalanced	{"C": -13.0, "O": -12.0}	2787	254
MNXR168154	movable	unbalanced	{"C": -1.0, "*": 1.0}	2813	280
MNXR131334	movable	unbalanced	{"C": 3.0}	2804	375
MNXR130136	movable	unusable	["smiles 'NC(=O)C1=C(C(=O)O)C=C(C(=O)N2CCC[C@H]2C(=O)O)C([O-])=O' unparseable"]	2738	585
MNXR159153	movable	unbalanced	{"S": 3.0}	2758	304
MNXR171006	movable	balanced	{}	2787	291
MNXR183126	movable	unbalanced	{"C": -7.0, "O": -7.0}	2810	326
MNXR187113	no_lever	unbalanced	{"N": -4.0, "C": -5.0, "O": -4.0}	2708	128
MNXR95121	movable	unbalanced	{"C": 6.0, "O": 5.0}	2923	514
MNXR152612	movable	unbalanced	{"O": 1.0}	2835	684
MNXR136220	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2O[C@H](CO[P](O)(O)O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)C(=O)CCCCCCCCCCCCC(C)C' unparseable", "smiles 'NC1=NC(=O)N([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C=C1[C@H](O)[C@@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(=O)CCCCCCCCCCCCC(C)C)[C@H](O)[C@@H](O)[C@@H]1O' unparseable"]	2827	659
MNXR160091	movable	unbalanced	{"N": 2.0, "C": 127.0, "P": 2.0, "O": 98.0}	3178	512
MNXR115472	movable	unbalanced	{"N": 2.0, "C": -1.0, "O": -3.0}	2658	281
MNXR194801	movable	refused	["All participants are structureless and represent proteins or complexes without chemical reactivity; no concrete chemistr"]	2667	57
MNXR184941	movable	unusable	["smiles 'CC(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC( =O)NCC(=O)NCC(=O)O)' unparseable"]	2704	463
MNXR157948	movable	unbalanced	{"C": -152.0, "O": -114.0, "N": -19.0}	2958	714
MNXR136863	movable	unbalanced	{"C": 4.0, "O": 1.0}	2691	378
MNXR160061	movable	unbalanced	{"C": 649.0, "P": 2.0, "O": 601.0}	2815	496
MNXR183138	movable	unbalanced	{"C": 6.0, "*": -4.0, "O": 9.0}	2802	507
MNXR130322	movable	unbalanced	{"C": -1.0}	2988	415
MNXR169588	movable	unbalanced	{"C": -15.0, "O": -2.0, "N": -2.0}	2895	415
MNXR174450	movable	refused	["Thrombin has no structure and cannot be replaced with a concrete stand-in without inventing chemistry"]	2681	121
MNXR201458	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 26 column 17 (char 1383); usage=Usage(prompt_tokens=3010, completion_tokens=1024, seconds=97.1138662029989)"]	0	0
MNXR95963	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2558	52
MNXR131258	movable	unbalanced	{"C": -1.0, "O": 2.0, "N": -2.0}	2711	376
MNXR134089	movable	balanced	{}	2818	524
MNXR129356	movable	unbalanced	{"C": -14.0, "*": -2.0}	2741	227
MNXR116051	no_lever	unbalanced	{"C": -1.0}	3282	353
MNXR100589	movable	unbalanced	{"S": 1.0}	3202	606
MNXR102792	movable	unbalanced	{"C": -34.0, "O": -4.0}	2830	409
MNXR136708	movable	unbalanced	{"C": 6.0}	2701	214
MNXR102120	movable	unbalanced	{"C": -24.0, "O": -24.0}	2844	769
MNXR183045	movable	unbalanced	{"C": 8.0, "O": 5.0, "N": 1.0}	2900	368
MNXR160074	movable	unbalanced	{"C": 80.0, "P": 2.0, "O": 7.0}	2808	549
MNXR186662	movable	unbalanced	{"C": 9.0, "P": 1.0, "O": 5.0, "N": 2.0, "*": 2.0}	2880	219
MNXR195517	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR132125	movable	refused	["The reaction involves two structureless proteins (Azoalbumin and hydrolyzed Azoalbumin) with no defined chemistry or bon"]	2652	71
MNXR194969	movable	unbalanced	{"S": 1.0, "O": -1.0}	2967	359
MNXR183315	movable	unbalanced	{"C": 2.0}	2772	291
MNXR180914	movable	balanced	{}	2884	317
MNXR194741	movable	unbalanced	{"C": 1.0}	2748	305
MNXR102754	movable	unbalanced	{"C": -14.0, "P": 1.0, "O": 4.0}	2840	417
MNXR110909	movable	unbalanced	{"O": 2.0, "*": 8.0}	2956	213
MNXR133128	movable	unbalanced	{"C": -1.0, "O": -1.0}	2792	258
MNXR160047	movable	unbalanced	{"C": -4851.0, "P": 2.0, "O": 501.0}	2815	429
MNXR136908	movable	unbalanced	{"S": -2.0, "C": 18.0, "O": -2.0, "N": -2.0}	3240	282
MNXR136636	movable	refused	["All participants lack structure and the reaction cannot be made concrete without inventing chemistry"]	2711	48
MNXR96071	one_sided	refused	["The reaction has no participants and cannot be meaningfully rewritten."]	2558	48
MNXR202046	movable	balanced	{}	2918	345
MNXR195726	no_lever	unbalanced	{"O": 4.0}	2638	93
MNXR101790	movable	unbalanced	{"S": 1.0, "C": 54.0, "O": -1.0}	3094	298
MNXR159861	movable	balanced	{}	2808	498
MNXR169247	movable	unbalanced	{"C": -4.0, "O": -1.0, "N": -2.0}	2770	420
MNXR185356	movable	unusable	["smiles 'CC(=O)OH' unparseable"]	2950	280
MNXR180639	movable	refused	["hv (MNXM527199) is a structureless photon and cannot be replaced with a concrete chemical species; the reaction cannot b"]	3132	73
MNXR118439	movable	balanced	{}	2864	392
MNXR112231	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1198); usage=Usage(prompt_tokens=2719, completion_tokens=1024, seconds=97.05883002802148)"]	0	0
MNXR110076	movable	unbalanced	{"C": 9.0, "O": 7.0, "N": 1.0}	2969	866
MNXR144413	movable	unbalanced	{"C": -1.0, "O": -1.0}	2893	342
MNXR136496	movable	unbalanced	{"C": 3.0, "O": 1.0, "N": 1.0}	3019	544
MNXR152858	movable	unbalanced	{"S": 1.0, "C": 13.0, "P": 1.0, "O": 7.0, "N": 2.0, "*": -1.0}	2878	209
MNXR130652	movable	unbalanced	{"N": -1.0, "C": -5.0, "O": -1.0}	2738	247
MNXR102090	one_sided	refused	["No reaction equation provided and no structured participants available to infer chemistry."]	2559	49
MNXR137488	movable	unbalanced	{"S": -1.0, "C": 7.0, "N": 6.0}	2877	417
MNXR135531	movable	unbalanced	{"C": 1.0, "P": 1.0, "*": -2.0, "O": 3.0}	2815	366
MNXR162082	movable	unusable	["id MNXM1094173 has no structure in MetaNetX"]	2922	557
MNXR160520	movable	unusable	["harness: BadJSON: Expecting value: line 20 column 16 (char 1449); usage=Usage(prompt_tokens=3215, completion_tokens=881, seconds=81.16157316599856)"]	0	0
MNXR109993	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2709	47
MNXR156136	movable	unbalanced	{"S": -1.0, "C": 6.0, "O": 6.0, "N": 1.0}	2831	521
MNXR148403	movable	unbalanced	{"C": 1.0}	2732	254
MNXR156112	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 14 column 17 (char 1253); usage=Usage(prompt_tokens=2687, completion_tokens=1024, seconds=97.68099944599089)"]	0	0
MNXR179913	movable	refused	["The reaction is a nonsensical aggregation of lipids with no defined chemistry; it cannot be simplified into a balanced, "]	2969	68
MNXR194538	no_lever	balanced	{}	2694	127
MNXR183271	movable	unbalanced	{"O": 1.0}	2805	547
MNXR180857	movable	unbalanced	{"C": 3.0, "O": -1.0}	2817	381
MNXR159964	movable	unbalanced	{"C": 6.0, "O": 1.0}	2810	503
MNXR159623	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)COP(O)(O)=O)[C@H](O)C1O' unparseable", "smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)COP(O)(O)=O)[C@H](O)C1O' unparseable"]	2719	548
MNXR136189	movable	unbalanced	{"C": 3.0}	2675	309
MNXR146864	movable	balanced	{}	2811	291
MNXR185672	movable	unbalanced	{"C": -9.0, "P": -1.0, "O": -4.0, "N": -3.0, "*": -2.0}	2996	250
MNXR137792	movable	unbalanced	{"C": 8.0, "O": 7.0}	2882	336
MNXR118440	movable	balanced	{}	2880	419
MNXR171001	movable	unbalanced	{"C": -1.0}	2858	475
MNXR160596	movable	unbalanced	{"C": 7.0, "O": 1.0}	2734	502
MNXR185712	movable	unbalanced	{"C": 4.0, "P": 1.0, "O": 7.0, "N": 1.0, "*": 2.0}	2904	238
MNXR115738	no_lever	balanced	{}	3172	186
MNXR130602	movable	unbalanced	{"C": -24.0, "O": -19.0}	2895	296
MNXR156085	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 13 column 17 (char 1189); usage=Usage(prompt_tokens=2717, completion_tokens=1024, seconds=99.8510223129997)"]	0	0
MNXR204388	no_lever	balanced	{}	3228	143
MNXR174480	movable	refused	["The reaction involves only structureless immunoglobulin IgA1 and its fragments, with no concrete chemistry or bond chang"]	2635	68
MNXR133267	movable	unbalanced	{"C": -1.0, "P": 1.0, "O": 1.0}	2704	225
MNXR204385	no_lever	balanced	{}	3324	157
MNXR199451	no_lever	balanced	{}	2819	134
MNXR172791	movable	refused	["The reaction cannot be simplified to a balanced concrete form without inventing chemistry; both participants are structu"]	2756	65
MNXR185783	no_lever	unbalanced	{"C": -10.0, "P": -6.0, "O": -26.0, "*": -2.0}	3108	131
MNXR138597	movable	unbalanced	{"C": -1.0, "O": -1.0}	3005	473
MNXR143226	movable	unbalanced	{"C": 1188.0, "P": 100.0, "O": 1289.0}	2824	466
MNXR132362	movable	unbalanced	{"C": 2.0, "O": 1.0}	2854	558
MNXR133451	movable	unbalanced	{"C": 2.0, "O": 3.0}	2774	392
MNXR101080	movable	unbalanced	{"C": -4.0, "O": 1.0, "N": -5.0}	2711	370
MNXR133481	movable	balanced	{}	2882	204
MNXR183239	movable	balanced	{}	2888	301
MNXR103303	movable	unusable	["smiles 'CCCCCCCCCCCCCCCC(=O)OC[C@H](N[C@H]CH2O)CO' unparseable"]	2737	347
MNXR147396	movable	unbalanced	{"C": -15.0, "O": -1.0}	2683	301
MNXR101836	movable	unbalanced	{"N": -1.0, "C": -8.0, "O": -5.0}	2775	498
MNXR111217	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2709	47
MNXR171386	movable	unbalanced	{"C": -2.0, "P": 1.0}	2791	449
MNXR155706	movable	unbalanced	{"O": 4.0, "*": 1.0}	3068	288
MNXR99501	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2558	52
MNXR172314	movable	unbalanced	{"C": -1.0}	2917	294
MNXR179732	movable	unbalanced	{"C": 12.0, "O": 9.0}	3060	391
MNXR148842	movable	unusable	["id MNXM1102130 has no structure in MetaNetX", "id MNXM736712 has no structure in MetaNetX"]	3076	406
MNXR168975	movable	balanced	{}	2708	338
MNXR132611	movable	balanced	{}	2811	322
MNXR144678	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 25 column 17 (char 1323); usage=Usage(prompt_tokens=3164, completion_tokens=932, seconds=89.50242513499688)"]	0	0
MNXR143262	movable	unbalanced	{"C": -1.0, "P": 101.0, "O": 302.0}	2826	348
MNXR206563	no_lever	unbalanced	{"C": -4.0, "O": -1.0}	3033	141
MNXR204055	no_lever	balanced	{}	2869	130
MNXR179218	movable	unbalanced	{"C": -7.0, "P": -2.0, "O": -10.0}	2777	407
MNXR137249	movable	balanced	{}	2886	577
MNXR154423	movable	unbalanced	{"N": 1.0}	2899	231
MNXR183204	movable	unbalanced	{"C": -1.0, "O": -1.0}	2892	813
MNXR155540	movable	unbalanced	{"C": -18.0, "O": -1.0}	2786	368
MNXR176643	movable	unbalanced	{"C": -21.0, "P": -1.0, "O": -7.0, "N": -2.0, "*": -2.0}	3019	246
MNXR202375	movable	unbalanced	{"C": 6.0, "O": 2.0}	2736	323
MNXR131657	movable	unbalanced	{"O": -2.0}	2816	288
MNXR102777	movable	unusable	["smiles 'CC(C)OC(=O)CCCCCCCN1C(=O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H]21OP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O' unparseable", "smiles 'CC(C)OC(=O)CCCCCCCN1C(=O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H]21OP(=O)(O)OP(=O)(O)[O-][C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O' unparseable"]	2884	608
MNXR157935	movable	unusable	["id MNXM1094356 has no structure in MetaNetX", "id MNXM1094364 has no structure in MetaNetX"]	3206	431
MNXR171487	movable	unbalanced	{"C": 3.0}	2916	456
